0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0,0.02,0.04,0.04,0.01,0.03,0.03,0.05,0.03,0.04,0,0.04,0.06,0.07,0.03,0.11,0.12,0.11,0.11,0.1,0.12,0.15,0.09,0.13,0.16,0.17
0.33,0.33,0.21,0.16,0.34,0.37,0.39,0.08,0.43,0.04,0.28,0.38,0.27,0.14,0.43,0.45,0.58,0.59,0.23,0.09,0.67,0.65,0.68,0.44,0.78,0.76,0.72,0.77,0.58,0.74,0.67,0.35,0.79,0.89,0.88
1.07,1.07,0.59,0.35,1.14,1.15,1.2,0.23,1.2,0.15,1.14,1.11,0.43,0.54,1.18,1.27,1.35,1.35,0.59,0.29,1.44,1.4,1.43,1.33,1.53,1.49,1.4,1.51,1.33,1.45,0.88,0.78,1.52,1.64,1.66
1.67,1.66,1.52,1.28,1.74,1.76,1.82,0.84,1.81,0.28,1.8,1.61,0.35,1.14,1.21,1.89,1.97,1.97,0.67,0.28,2.05,2.02,2.06,1.71,2.15,2.11,2.07,2.14,1.76,2.01,1.91,1.53,2.13,2.27,2.29
2.09,2.1,1.66,1.05,2.16,2.21,2.25,1.09,2.25,0.31,2.25,2.26,0.36,1.19,0.7,2.25,2.43,2.41,1.08,0.48,2.49,2.47,2.52,2.52,2.59,2.55,2.53,2.6,2.41,1.61,2.67,1.82,2.55,2.73,2.55
2.3,2.29,2.28,1.31,2.37,2.43,2.46,1.34,2.46,0.26,2.46,2.49,0.25,1.04,1.25,2.49,2.68,2.64,1.85,1.1,2.72,2.68,2.74,2.8,2.81,2.75,2.73,2.81,2.57,1.38,2.86,2.63,2.72,2.93,2.69
2.25,2.27,2.27,1.67,1.99,1.98,2.44,1.56,2.42,0.29,2.44,2.05,0.33,1.35,1.31,2.5,2.45,2.63,1.17,1.32,2.02,2.65,2.7,2.8,2.79,2.7,2.35,2.76,2.56,1.87,2.79,2.62,2.69,2.67,2.88
1.95,1.98,1.99,0.83,1.65,0.79,2.16,2.05,2.14,0.19,2.18,1.96,0.32,1.33,1.99,1.2,2.16,2.36,1,0.49,1.68,2.37,2.43,2.52,2.47,2.27,2.44,2.45,2.29,1.6,2.39,2.13,2.42,2.69,2.41
1.49,1.52,1.5,0.39,0.69,0.88,1.68,0.9,1.59,0.13,1.69,1.54,0.23,1.21,1.66,0.33,1.19,1.88,0.54,0.41,1.84,1.88,1.22,2.02,1.96,1.89,1.98,1.68,1.75,1.82,1.92,1.74,1.92,0.81,1.58
0.86,0.9,0.89,0.28,0.36,0.6,0.7,0.63,0.93,0.07,0.77,1.05,0.11,0.82,0.97,0.15,1.11,1.24,0.2,0.17,1.27,1.24,1.28,1.35,1.29,1.24,1.35,0.88,0.49,0.62,1.26,1.2,1.21,0.4,1.17
0.24,0.27,0.27,0.14,0.14,0.17,0.18,0.3,0.25,0.02,0.38,0.38,0.04,0.34,0.25,0.1,0.28,0.5,0.1,0.11,0.54,0.49,0.4,0.6,0.56,0.54,0.61,0.48,0.23,0.49,0.2,0.46,0.55,0.52,0.62
0,0,0,0,0,0.01,0,0.01,0.01,0,0.01,0.01,0,0.02,0.01,0.02,0.02,0.03,0.02,0.01,0.04,0.05,0.02,0.05,0.05,0.05,0.06,0.06,0.04,0.04,0.01,0.04,0.06,0.07,0.07
